【うき】　 メルマガPR 管理表,,,,,,,,
45,アパレル･コスメ業界大特集,（火金12）新着総合,"┏━━━★期間限定特集★━━━━┓

◆キレイもキャリアも手に入れる アパレル・コスメ業界大特集◆
https://woman-type.jp/s/fashion/sp20160927/?waad=Sc9pToTa

┗━━━━━━━━━━━━━━━┛",2018/12/21,2019/01/29,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
46,"アパレル･コスメ業界大特集
＆
納品対策",（月12）納品対策,"┏━━━★期間限定特集★━━━━┓

◆キレイもキャリアも手に入れる アパレル・コスメ業界大特集◆
https://woman-type.jp/s/fashion/sp20160927/?waad=Sc9pToTa

◆2019年は心機一転！編集部厳選のとっておき求人◆
https://woman-type.jp/job-feature/18243/?waad=XSM15xGb

┗━━━━━━━━━━━━━━━┛",2018/12/24,2019/01/28,終了,,
47,サイト名変更のお知らせ,（火金12）新着総合,"※※ サイト名変更のお知らせ ※※
2019年1月8日よりサービス名を『女の転職＠type』から『女の転職type』に変更いたしました。",2019/01/08,2019/01/18,終了,「PR企業」の下、PR45の上に入れる。,
48,介護特集,"（火12）新着総合
（火14）福祉事務
（火14）福祉事務_35歳以上
（金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆専門知識を活かして社会に貢献！介護・保育・医療・福祉業界に関わる仕事特集◆
https://woman-type.jp/s/kaigosp/?waad=fb5rf2VK

┗━━━━━━━━━━━━━━━┛",2019/02/01,2019/02/28,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
49,IT・Web業界大特集,"（火金12）新着総合
（月11）納品対策","┏━━━★期間限定特集★━━━━┓

◆専門スキルを身につけられる！IT・Web業界大特集◆
https://woman-type.jp/s/websp/?waad=SUBUNnw7

┗━━━━━━━━━━━━━━━┛",2019/03/01,2019/03/28,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
50,オフィスワーク大特集,"（火金12）新着総合
（月11）納品対策","┏━━━★期間限定特集★━━━━┓

◆スキルをつけて長く働く！ねらい目のオフィスワーク特集◆
https://woman-type.jp/s/officework/?waad=faB2LNZZ

┗━━━━━━━━━━━━━━━┛",2019/03/29,2019/04/25,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
51,志向別大特集,"（火金12）新着総合
（月11）納品対策","┏━━━★期間限定特集★━━━━┓

◆「“理想の働き方”から長く働ける職場を見つける！」大特集◆
https://woman-type.jp/s/careertype/?waad=Whzxo6Kw

┗━━━━━━━━━━━━━━━┛",2019/04/26,2019/05/23,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
52,sansanイベント告知,"（水10）掲載終了前+UP A
（金10）学歴不問
（月20）20～35歳正社員求人
（火08）ポジションマッチ","━━ ▽ PR ▽ ━━━━━━━━━━
 【会員限定特別無料セミナーのお知らせ｜女の転職×Eight】
　 5月22日（水）19：00～開催　＠表参道
 『仕事をもっと楽しくする、
   働く女性のためのアンガーマネジメント』
 https://woman-type.jp/seminar/detail/31276/?waad=dp7TxFDn
━━━━━━━━━━━━━━━━━",2019/05/08,2019/05/15,終了,配信対象が35歳以下のメルマガ,
53,販サ大特集,"（火金12）新着総合
（月11）納品対策","┏━━━★期間限定特集★━━━━┓

◆実は魅力がたくさん！「サービス・販売系職種」大特集◆
https://woman-type.jp/s/service/?waad=fjHIdBUn

┗━━━━━━━━━━━━━━━┛",2019/05/24,2019/06/20,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
54,営業大特集,"（火金12）新着総合
（月11）納品対策","┏━━━★期間限定特集★━━━━┓

◆オンもオフも輝ける！営業大特集◆
https://woman-type.jp/s/salessp/?waad=waw0yO0y

┗━━━━━━━━━━━━━━━┛",2019/06/21,2019/07/18,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
55,IT・Web／介護大特集,"（火金12）新着総合
（月11）納品対策","┏━━━★期間限定特集★━━━━┓

◆専門スキルを身につけられる！IT・Web業界大特集◆
https://woman-type.jp/s/websp/?waad=SUBUNnw7

◆専門知識を活かして社会に貢献！介護・保育・医療・福祉業界に関わる仕事特集◆
https://woman-type.jp/s/kaigosp/?waad=fb5rf2VK

┗━━━━━━━━━━━━━━━┛",2019/07/19,2019/08/29,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
56,アパレル・コスメ業界大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆キレイもキャリアも手に入れる アパレル・コスメ業界大特集◆
https://woman-type.jp/s/fashion/sp20160927/?waad=Sc9pToTa

┗━━━━━━━━━━━━━━━┛",2019/08/30,2019/10/10,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
57,ミイプレゼントキャンペーン,"（月20）
20～35歳正社員求人
36歳以上正社員求人","━ PR ━━━━━━━━━━━━━━
JTB旅行券5万円分、リトルミイグッズが当たる！
「仕事で叶えたい未来」ツイートキャンペーン実施中
https://woman-type.jp/s/campaign29/
リトルミイの新作CMもぜひ見てね★
━━━━━━━━━━━━━━━━━",2019/09/09,2019/10/14,終了,,
58,ユーザーアンケート,（水14）編集部オススメ,"━ PR ━━━━━━━━━━━━━━
抽選でamazonギフト券500円分プレゼント★
【「女性と仕事」に関するアンケート】実施中！
5分ほどで回答できますので、ぜひご協力ください！  
https://epfb.f.msgs.jp/webapp/form/21350_epfb_62/index.do  
回答期限：2019/10/10
━━━━━━━━━━━━━━━━━",2019/10/02,2019/10/09,終了,導入文の下、求人の上に入れる。,
59,営業大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆オンもオフも輝ける！営業大特集◆
https://woman-type.jp/s/salessp/?waad=waw0yO0y

┗━━━━━━━━━━━━━━━┛",2019/10/11,2019/11/07,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
60,販サ大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆実は魅力がたくさん！「サービス・販売系職種」大特集◆
https://woman-type.jp/s/service/?waad=fjHIdBUn

┗━━━━━━━━━━━━━━━┛",2019/11/08,2019/12/05,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
61,UIターン大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆地方で働こう！Uターン、Iターン歓迎企業特集◆
https://woman-type.jp/s/region/?waad=Z7UzWxwU

┗━━━━━━━━━━━━━━━┛",2019/12/06,2020/01/16,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
62,アパレル・コスメ業界大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆キレイもキャリアも手に入れる アパレル・コスメ・美容業界大特集◆
https://woman-type.jp/s/fashion/sp20160927/?waad=Sc9pToTa

┗━━━━━━━━━━━━━━━┛",2020/01/17,2020/02/13,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
63,アカデミア告知,（水14）編集部オススメ,"━ PR ━━━━━━━━━━━━━━
「転職したいけど、求人を見てもピンと来ない…」
そんなあたなは【女の転職アカデミア】をチェック！
https://woman-type.jp/academia/?waad=mMpoBmU6
━━━━━━━━━━━━━━━━━",2020/01/29,2020/01/29,終了,冒頭文の下に,
64,介護・医療業界大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆専門知識を活かして社会に貢献！介護・保育・医療・福祉業界に関わる仕事特集◆
https://woman-type.jp/s/kaigosp/?waad=fb5rf2VK

┗━━━━━━━━━━━━━━━┛",2020/02/14,2020/03/12,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
65,IT・Web業界大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆専門スキルを身につけられる！IT・Web業界大特集◆
https://woman-type.jp/s/websp/?waad=SUBUNnw7

┗━━━━━━━━━━━━━━━┛",2020/03/13,2020/04/09,終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
66,オフィスワーク大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆スキルをつけて長く働く！ねらい目のオフィスワーク特集◆
https://woman-type.jp/s/officework/?waad=faB2LNZZ

┗━━━━━━━━━━━━━━━┛",4/10(Fri),5/7(Thu),終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
67,志向別大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆「“理想の働き方”から長く働ける職場を見つける！」大特集◆
https://woman-type.jp/s/careertype/?waad=Whzxo6Kw

┗━━━━━━━━━━━━━━━┛",5/8(Fri),6/4(Thu),終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
68,女性フェア告知,"（火11）営業（BtoC）_希望
（水11）営業（内勤）_希望
（水15）営業（コールセンター）_希望
（木11）営業（FP）_希望
（金11）営業（MR）_希望
（金15）営業（その他）_希望
（月11）営業（BtoB）_希望
（月15）営業（キャリアカウンセラー）_希望","┏━━.+゜☆+.女の転職type 転職イベント━━━┓

★7/4(土)女性のための転職イベントを開催in渋谷ヒカリエ★
https://woman-type.jp/s/event/?waad=lkN7G63y

┗━━━━━━━━━━━━━━━ .+゜☆+.━━┛",5/20(Wed),"7/3(金)
↓
5/28(木)
に前倒し",終了,冒頭文の下に入れる。,
69,"未経験販サ大特集
神奈川大特集","（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆実は魅力がたくさん！「サービス・販売系職種」大特集◆
https://woman-type.jp/s/service/?waad=fjHIdBUn

★愛される街  神奈川県の仕事特集★
https://woman-type.jp/s/kanagawa/?waad=0wLFOZsX

┗━━━━━━━━━━━━━━━┛",6/5(Fri),7/2(Thu),終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
70,営業大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆オンもオフも輝ける！営業大特集◆
https://woman-type.jp/s/salessp/?waad=waw0yO0y

┗━━━━━━━━━━━━━━━┛",7/3(Fri),7/30(Thu),終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
68,介護保育大特集・ITWEB大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆専門スキルを身につけられる！IT・Web業界大特集◆
https://woman-type.jp/s/websp/?waad=SUBUNnw7

◆専門知識を活かして社会に貢献！介護・保育・医療・福祉業界に関わる仕事特集◆
https://woman-type.jp/s/kaigosp/?waad=fb5rf2VK

┗━━━━━━━━━━━━━━━┛",7/31(Fri),9/10(Thu),終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
69,アパレルコスメ大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆キレイもキャリアも手に入れる アパレル・コスメ・美容業界大特集◆
https://woman-type.jp/s/fashion/sp20160927/?waad=Sc9pToTa

┗━━━━━━━━━━━━━━━┛",9/11(Fri),10/8(Thu),終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
70,女性エンジニア向けオンラインセミナー,"（水9）ランキング_エンジニア（IT系）_希望
（土12）★求人特集(35歳未満） B","━━━━━━━━━━━━━━━━━
IBM戸倉 彩さん登壇！
【女性エンジニア向けオンラインキャリアセミナー開催】
━━━━━━━━━━━━━ PR ━━
2020年7月29日(水)
19：00～20：30　＠Zoomウェビナー

★参加無料、特別講演あり、匿名で質問や応答可能★

▼エントリーはこちらから▼
https://woman-type.jp/seminar/detail/31381/?waad=JINeYWkh
━━━━━━━━━━━━━━━━━",7/1(Wed),7/18(Sat),終了,"※（水）（土）それぞれ週一回配信
エントリーURLは6/30（火）にページ公開後から閲覧可能となります。",
71,女性フェア告知,"（火11）営業（BtoC）_希望
（水11）営業（内勤）_希望
（水15）営業（コールセンター）_希望
（金15）営業（その他）_希望
（月15）営業（キャリアカウンセラー）_希望","┏━━.+゜☆+.女の転職type 転職イベント━━━┓

★10/31(土)女性のための転職イベントを開催予定in渋谷ヒカリエ★
https://woman-type.jp/s/event/?waad=lkN7G63y

┗━━━━━━━━━━━━━━━ .+゜☆+.━━┛",9/22(Tue),10/30(Fri),終了,冒頭分の下にいれる,
72,IT・Web業界大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆専門スキルを身につけられる！IT・Web業界大特集◆
https://woman-type.jp/s/websp/?waad=SUBUNnw7

┗━━━━━━━━━━━━━━━┛",10/9(Fri),11/5(Thu),終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
73,営業大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆オンもオフも輝ける！営業大特集◆
https://woman-type.jp/s/salessp/?waad=waw0yO0y

┗━━━━━━━━━━━━━━━┛",11/6(Fri),12/3(Thu),終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
74,イベント告知,"（火08）ポジションマッチ_36歳以上
（火14）福祉事務_35歳以上
（火16）未経験オフィスワーク_35歳以上
（火18）エンジニア_経験_35歳以上
（火18）エンジニア_未経験_35歳以上
（火20）35歳以上向け A
（火20）35歳以上向け_関西 A

（水18）営業_経験_35歳以上
（水18）営業_未経験_35歳以上
（水20）大手上場_35歳以上 A

（木16）オープニング_35歳以上
（木18）販サ_経験_35歳以上
（木18）販サ_未経験_35歳以上
（木20）事務職_35歳以上 A

（金08）既婚者
（金14）学歴不問_35歳以上
（金14）学歴大卒_35歳以上
（金18）クリエイティブ_経験_35歳以上
（金18）クリエイティブ_未経験_35歳以上

（土20）35歳以上向け B
（土20）35歳以上向け_関西 B

（日14）プライベート重視_35歳以上
（日14）働きやすい_35歳以上
（日18）コンサル専門職_経験_35歳以上
（日18）コンサル専門職_未経験_35歳以上
（日20）正社員_35歳以上

（月16）事務職_35歳以上 B
（月18）事務_経験_35歳以上
（月18）事務_未経験_35歳以上
（月20）36歳以上正社員求人","━━━━━━━━━━━━━━━━━
イラストエッセイスト・犬山紙子さん登壇
≪無料オンラインイベント開催≫
━━━━━━━━━━━━━ PR ━━
2020年11月24日(火) 17：00～18：00　＠Zoomウェビナー
【テーマ】“ちょうどいい”夫婦のカタチを考える
既婚・未婚問わず参加OK！匿名で質問も可能です☆
▼エントリーはこちらから▼
https://woman-type.jp/wt/feature/19021/?waad=U9zwwTuu
━━━━━━━━━━━━━━━━━",11/10(Tue),11/23(Mon),終了,リード文の下にいれる,
75,販サ大特集＆神奈川大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆実は魅力がたくさん！「サービス・販売系職種」大特集◆
https://woman-type.jp/s/service/?waad=fjHIdBUn

★愛される街  神奈川県の仕事特集★
https://woman-type.jp/s/kanagawa/?waad=0wLFOZsX

┗━━━━━━━━━━━━━━━┛",12/4(Fri),1/14(Thu),終了,"「PR企業」の下
「※今週の新着求人～こちら」の上
に入れる。",
76,イベント告知,"（火18）エンジニア系メルマガ4本
（水09）ランキング_エンジニア(IT系)_希望
（金11）今週の人気求人ランキング","━━━━━━━━━━━━━ PR ━━
12月7日(月)18:30～＠オンライン
エンジニアのお悩みを、著名人に相談できる人気企画
「エンジニアWebメンタリング」の公開取材！
匿名で質問も可能です☆
▼エントリーはこちらから▼
https://type.jp/et/feature/14439/?waad=U9zwwTuu
━━━━━━━━━━━━━━━━━",12/1(Tue),12/6(Sun),終了,リード文の下にいれる,
77,医療福祉_資格登録促進_メルマガPR,"（火11）医療福祉（介護リハビリ）_希望
（水11）医療福祉（保育）_希望
（土18）医療福祉_経験
（土18）医療福祉_経験_35歳以上
（日11）販サ（美容師、エステ）_希望
（日13）ランキング_医療福祉（保育）_希望","┏━━━★仕事に活かせる資格をお持ちの方へ★━━━━┓

最近は【保育士】【福祉・医療】の資格保有者を対象とした
企業からのスカウトが増えています。
マイページで保有資格のご登録がまだの方はぜひご登録をお願いします。

▼資格登録はこちらから▼
https://woman-type.jp/mypage/skill/?waad=DxEnPVRi
※保育士資格をお持ちの方は『その他』の欄にご記入ください
┗━━━━━━━━━━━━━━━━━━━━━━━━┛",12/12(Sat),21/07/06週より断舎離して、対象メルマガがなくなった,終了,"リード文の下にいれる

※ユーザーに資格登録を促進することが狙いなので、しばらく掲載し続ける予定。",12/22までのWA数値でクリック1...
78,メイクセミナー,"（水14）編集部オススメ
（火18）エンジニア系✕6本
（水18）営業系✕6本
（木18）販サ系✕6本
（金18）クリエイティブ系✕6本
（土18）医療福祉系✕4本
（日18）コンサル専門職系✕6本
（月18）事務系✕6本","━━━━━━━━━━━━━ PR ━━
1月30日(土)11:00～
【花王×女の転職type 共催セミナー】
オンラインでも映えるメイクレッスン！
プロが教えるWeb面接＆マスクメイク対策
▼エントリーはこちらから▼
https://woman-type.jp/academia/newsrelease/2021y/post-20/?waad=Hu9UIZGT
━━━━━━━━━━━━━━━━━",1/6(Wed),1/28(Thu),終了,リード文の下にいれる,
79,横浜セミナー,"（火16）未経験オフィスワーク
（火16）未経験オフィスワーク_35歳以上
（火17）応募ランキングA
（火19）TP部_営業_現住所
（木12）応募ランキングB
（木13）TP部_事務_現住所
（木14）リモートワーク A
（金08）既婚者
（金08）未婚者
（土14）横浜
（日20）正社員
（日20）正社員_35歳以上
（月10）TP部_事務_希望地
（月13）リモートワーク B
（月16）事務職 B
（月16）事務職_35歳以上 B
（月20）20～35歳正社員求人
（月20）36歳以上正社員求人","━[PR]━━━━━━━━━━━☆★━
＜横浜市×女の転職type＞
働きやすい環境づくりに注力している「よこはまグッドバランス賞」
認定企業のみを集めた特別webセミナーを開催します！

https://woman-type.jp/seminar/detail/31423/?waad=mXrxgtrn

＊参加無料＊その場でオンライン面談も＊
━━━━━━━━━━━━━━━━━",1/6(Wed),1/29(Fri),終了,リード文の下にいれる,
80,IT・Web業界大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆専門スキルを身につけられる！IT・Web業界大特集◆
https://woman-type.jp/s/websp/?waad=SUBUNnw7

┗━━━━━━━━━━━━━━━┛",1/15(Fri),2/11(Thu),終了,リード文の下にいれる,
81,WTオンラインエンジニアセミナー,"（火11）エンジニア（電機系）_希望
（火18）エンジニア系✕4
（水09）ランキング_エンジニア（IT系）_希望
（月11）エンジニア（IT系）_希望","━━━━━━━━━━━━━━━━━
ちょまど・大平かづみ・松井菜穂子登壇！オンラインイベント開催
≪女性エンジニアのキャリアのお悩み相談室 with『Code Polaris』≫
━━━━━━━━━━━━━ PR ━━
2021年2月15日（月）18：30～20：00　＠Zoomウェビナー
女性エンジニア向けコミュニティ『Code Polaris』とのコラボイベントです！
▼エントリーはこちらから▼
https://woman-type.jp/wt/feature/19685/?waad=PTsI4tlR&routeway=85
━━━━━━━━━━━━━━━━━",1/28(Thu),2/9(Tue),終了,リード文の下にいれる,
82,介護大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆専門知識を活かして社会に貢献！介護・保育・医療・福祉業界に関わる仕事特集◆
https://woman-type.jp/s/kaigosp/?waad=fb5rf2VK

┗━━━━━━━━━━━━━━━┛",2/12(Fri),3/11(Thu),終了,リード文の下にいれる,
83,アパレルコスメ大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆キレイもキャリアも手に入れる アパレル・コスメ・美容業界大特集◆
https://woman-type.jp/s/fashion/sp20160927/?waad=Sc9pToTa

┗━━━━━━━━━━━━━━━┛",3/12(Fri),4/8(Thu),終了,リード文の下にいれる,
84,type横浜フェア,"（火16）未経験オフィスワーク
（火16）未経験オフィスワーク_35歳以上
（火17）応募ランキングA
（火19）TP部_営業_現住所
（木12）応募ランキングB
（木13）TP部_事務_現住所
（木14）リモートワーク A
（金08）既婚者
（金08）未婚者
（土14）横浜
（日20）正社員
（日20）正社員_35歳以上
（月10）TP部_事務_希望地
（月13）リモートワーク B
（月16）事務職 B
（月16）事務職_35歳以上 B
（月20）20～35歳正社員求人
（月20）36歳以上正社員求人","━[PR]━━━━━━━━━━━☆★━
＜コロナ禍での就職活動を応援！＞
3/13(土)横浜市経済局主催のオンライン就職フェアを開催します。

https://type.jp/s/fair/yokohama/index2.html?waad=O1PnwDjr

リモートOKや全国に勤務地がある企業も出展しています。
横浜で働きたい方はもちろん、全国から参加をお待ちしています！
━━━━━━━━━━━━━━━━━",3/7(Sun),3/12(Fri),終了,リード文の下にいれる,
85,ETカンファレンス,"（火18）エンジニア系メルマガ4本
（水09）ランキング_エンジニア(IT系)_希望
（金11）今週の人気求人ランキング
（月11）エンジニア（IT系)_希望","━[PR]━━━━━━━━━━━☆★━
 ＼2021/4/14(火)～4/17(土) ／
【無料】オンラインカンファレンス開催！

女性エンジニア向けセッションや
登壇者へのQ&Aコーナーも☆
ENGINEER キャリアデザインウィーク

▼詳細・事前登録はこちらから
https://type.jp/et/feature/ecdw2021/?waad=mkQiadNr
━━━━━━━━━━━━━━━━━",3/15(Mon),4/6(Tue),終了,リード文の下にいれる,
86,キャリアメールアドレス注意,"（水14）編集部オススメ_事務
（土12）編集部オススメ_営業","━━━★メールアドレスご確認のお願い★━━━━
大手3キャリアの新料金プランをご検討中の皆様へ
https://woman-type.jp/s/help/mailadress/
━━━━━━━━━━━━━━━━━━━━━━━",3/17(Wed),5/8(Sat),終了,リード文の下にいれる,
87,メイクセミナー,"（水14）編集部オススメ
（火18）エンジニア系✕6本
（水18）営業系✕6本
（木18）販サ系✕6本
（金18）クリエイティブ系✕6本
（土18）医療福祉系✕4本
（日18）コンサル専門職系✕6本
（月18）事務系✕6本","━━━━━━━━━━━━━ PR ━━
4月24日(土)11:00～
【花王×女の転職type 共催セミナー】
オンラインでも映えるメイクレッスン！
プロが教えるWeb面接＆マスクメイク対策
▼エントリーはこちらから▼
https://woman-type.jp/academia/newsrelease/2021y/post-35/?waad=sPKb5tTj
━━━━━━━━━━━━━━━━━",4/7(Wed),4/23(Fri),終了,リード文の下にいれる,
88,オフィスワーク大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆スキルをつけて長く働く！ねらい目のオフィスワーク特集◆
https://woman-type.jp/s/officework/?waad=faB2LNZZ

┗━━━━━━━━━━━━━━━┛",4/9(Fri),5/6(Thu),終了,リード文の下にいれる,
89,ETカンファレンス,"（火18）エンジニア系メルマガ4本
（水09）ランキング_エンジニア(IT系)_希望
（金11）今週の人気求人ランキング
（月11）エンジニア（IT系)_希望","━[PR]━━━━━━━━━━━☆★━
＼4/14(火)～4/17(土) 無料ウェビナー ／
女性エンジニアの悩みを語り合おう！
『Code Polaris』座談会
https://ecdw2021.connpass.com/event/205827/

▼『Code Polaris』への相談を募集中！
https://cutt.ly/AcQGrGO
━━━━━━━━━━━━━━━━━",4/7(Wed),4/16(Fri),終了,リード文の下にいれる,
90,女性フェアONLINE,"（火10）事務_販サ経験者向け_東京
（火18）エンジニア系4本
（水18）営業系6本
（木10）経験活かせる_営業
（木10）経験活かせる_事務
（月18）事務系6本","┏━━.+゜☆+.女の転職type 転職イベント━━━┓

★6/26(土)女性のための転職イベントをオンライン開催予定★
https://woman-type.jp/s/event/online/index2.html?waad=Vi8ikdfU

┗━━━━━━━━━━━━━━━ .+゜☆+.━━┛",5/11(Tue),6/25(Fri),終了,リード文の下にいれる,
91,販サ＆神奈川大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆実は魅力がたくさん！「サービス・販売系職種」大特集◆
https://woman-type.jp/s/service/?waad=fjHIdBUn

★愛される街  神奈川県の仕事特集★
https://woman-type.jp/s/kanagawa/?waad=0wLFOZsX

┗━━━━━━━━━━━━━━━┛",5/7(Fri),6/3(Thu),終了,リード文の下にいれる,
92,マイページリリース,（水14）編集部オススメ_事務,"━━━━★女の転職type リリース広報★━━━━
4月27日(火)に『PC版マイページ』を大幅刷新！

リトルミイがイメージキャラクターとして登場！
レジュメ入力状況がひと目で分かる「入力率」も新設。
ぜひ、PCからログインしてご確認ください。

▼マイページはこちら▼
https://woman-type.jp/mypage/?waad=bSztBO5J&routeway=85
━━━━━━━━━━━━━━━━━━━━━━━",4/28(Wed),5/19(Wed),終了,PR89の上にいれる,
93,営業大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆オンもオフも輝ける！営業大特集◆
https://woman-type.jp/s/salessp/?waad=waw0yO0y

┗━━━━━━━━━━━━━━━┛",6/4(Fri),7/1(Thu),終了,リード文の下にいれる,
94,志向別大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆「“理想の働き方”から長く働ける職場を見つける！」大特集◆
https://woman-type.jp/s/careertype/?waad=Whzxo6Kw

┗━━━━━━━━━━━━━━━┛",7/2(Fri),7/29(Thu),終了,リード文の下にいれる,
