【うき】　 メルマガPR 管理表,,,,,,,,
95,ベアーズ様家事テクセミナー,"（火18）エンジニア系✕4本
（水14）編集部オススメ_事務
（水18）営業系✕4本
（木18）販サ系✕6本
（金18）クリエイティブ系✕4本
（土12）編集部オススメ_営業
（日18）コンサル専門職系✕4本
（月18）事務系✕6本","━━━━━━━━━━━━━ PR ━━
7月31日(土)11:00～
【ベアーズ×女の転職type共催】
おうち時間をもっと豊かに！働く女性のラク家事セミナー
▼エントリーはこちらから▼
https://woman-type.jp/academia/newsrelease/2021y/post-48/?waad=vpjglkx7&routeway85
━━━━━━━━━━━━━━━━━",7/13(Tue),7/30(Fri),終了,リード文の下にいれる,
96,LINEレコメンド配信スタート,"（水14）編集部オススメ_事務
（土12）編集部オススメ_営業","━━━━━━━━━━━━━ ★ ━━
【女の転職type LINEでオススメ求人配信を開始♪】
ともだち追加であなたの行動履歴に合う求人がLINEに届く！
▼ともだち追加▼
https://lin.ee/dcpYiiK
▼アカウント連携▼
https://woman-type.jp/mypage/#service
「外部サービスとのアカウント連携」から
「連携する」をON！
━━━━━━━━━━━━━━━━━",7/20(Tue),7/31(Sat),終了,リード文の下にいれる,
97,介護大特集＆IT・Web業界大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆専門知識を活かして社会に貢献！介護・保育・医療・福祉業界に関わる仕事特集◆
https://woman-type.jp/s/kaigosp/?waad=fb5rf2VK

◆専門スキルを身につけられる！IT・Web業界大特集◆
https://woman-type.jp/s/websp/?waad=SUBUNnw7

┗━━━━━━━━━━━━━━━┛",7/30(Fri),9/9(Thu),終了,リード文の下にいれる,
98,横浜イベント,"（木19）神奈川_路線
（土14）横浜
（月8）始業10時
","━[PR]━━━━━━━━━━━☆★━
＜横浜市×女の転職type＞
働きやすい環境づくりに注力している「よこはまグッドバランス賞」
認定企業のみを集めた特別webセミナーを開催します！

https://woman-type.jp/seminar/detail/31465/?waad=ePmIku8r

＊参加無料＊未経験求人多数＊その場でオンライン面談も＊
━━━━━━━━━━━━━━━━━",8/23(Mon),9/5(Sun),終了,リード文の下にいれる,
99,アパレルコスメ大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆キレイもキャリアも手に入れる アパレル・コスメ・美容業界大特集◆
https://woman-type.jp/s/fashion/sp20160927/?waad=Sc9pToTa

┗━━━━━━━━━━━━━━━┛",9/10(Fri),10/7(Thu),終了,リード文の下にいれる,
100,IT・WEB業界大特集（経験者向け※新規）,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━.+゜☆+.期間限定特集━━━┓

★スキルアップしながら長く働く！エンジニア経験者のためのIT・Web業界大特集★
https://woman-type.jp/s/itweb/?waad=4frWJiXC

┗━━━━━━━━ .+゜☆+. ━━┛",10/12(Tue),11/8(Mon),終了,リード文の下にいれる,
101,営業大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆オンもオフも輝ける！営業大特集◆
https://woman-type.jp/s/salessp/?waad=waw0yO0y

┗━━━━━━━━━━━━━━━┛",11/9(Tue),12/6(Mon),終了,リード文の下にいれる,
102,働き方・キャリアのタイプ別大特集＆神奈川大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━.+゜☆+.期間限定特集━━━┓

★愛される街  神奈川県の仕事特集★
https://woman-type.jp/s/kanagawa/?waad=0wLFOZsX

◆「“理想の働き方”から長く働ける職場を見つける！」大特集◆
https://woman-type.jp/s/careertype/?waad=Whzxo6Kw

┗━━━━━━━━ .+゜☆+. ━━┛",12/7(Tue),1/17(Mon),終了,リード文の下にいれる,
106,未経験LP,"（月18）事務_経験_首都圏版
（火11）事務（経理）_希望
（木18）販サ_経験_首都圏版
（火20）20代に人気
（火20）20代に人気_第二新卒
（火16）未経験オフィスワーク","┏.+゜☆+.━━━━━━━━ ━.+゜☆+. ゜┓

～未経験からでも大丈夫◎　目指せ手に職！ITエンジニア～
https://woman-type.jp/s/itengineer/?waad=VVvspZ7A

┗.+゜☆+. ゜━ ━━━━━━━━.+゜☆+.┛",12/21(Tue),無期限,終了↓ 定期化,リード文の下にいれる,
103,介護大特集＆IT・Web業界大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━.+゜☆+.期間限定特集━━━┓

◆手に職つけて社会に貢献！介護・保育・医療・福祉業界に関わる仕事特集◆
https://woman-type.jp/s/kaigosp/?waad=fb5rf2VK

★スキルアップしながら長く働く！エンジニア経験者のためのIT・Web業界大特集★
https://woman-type.jp/s/itweb/?waad=4frWJiXC

┗━━━━━━━━ .+゜☆+. ━━┛",1/18(Tue),2/14(Mon),終了,リード文の下にいれる,
104,アパレルコスメ大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆キレイもキャリアも手に入れる アパレル・コスメ・美容業界大特集◆
https://woman-type.jp/s/fashion/sp20160927/?waad=Sc9pToTa

┗━━━━━━━━━━━━━━━┛",2/15(Tue),3/14(Mon),終了,リード文の下にいれる,
105,オフィスワーク大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆スキルをつけて長く働く！ねらい目のオフィスワーク特集◆
https://woman-type.jp/s/officework/?waad=faB2LNZZ

┗━━━━━━━━━━━━━━━┛",3/15(Tue),4/11(Mon),終了,リード文の下にいれる,
106,女性フェアONLINE,"▼2/22週　追加済み
（月11）エンジニア（IT系）_希望　★RPA

▼3/1週　追加分
（火18）エンジニア系4本
（水9）ランキング_エンジニア（IT系）_希望　★RPA
（木8）人気検索KW_エンジニア系希望

▼3/8週　急遽追加
（土8）求人特集(35歳未満） B
（月12）納品対策

▼3/22週　追加分
（水8）求人特集(35歳未満) A
（火金13）新着総合_首都圏","┏━━.+゜☆+.女の転職type 転職イベント━━━┓

★3/26(土)女性エンジニアのための転職イベントをONLINE開催予定★
Amazonギフト券最大5000円分のプレゼントあり！
https://woman-type.jp/s/event/online-engineer/?waad=Vi8ikdfU

┗━━━━━━━━━━━━━━━ .+゜☆+.━━┛",2/28(Mon),3/26(Sat),終了,リード文の下にいれる,
107,WT差し込み,"2/22週のみ以下のメルマガに差し込む
（金10）40代向け_ワークライフバランス
（土10）検討中ランキング_営業
（土10）検討中ランキング_コンサル
（土10）検討中ランキング_エンジニア
（土10）検討中ランキング_介護
（日11）年5日の連休取得可能","┏━━━━━━━★Woman typeの注目コンテンツ★━━━━━━━━┓

★【驚愕】オンライン面接で珍事件。転職者が暴露する人事・採用担当のあり得ない行動
https://woman-type.jp/wt/feature/24127?waad=x2brFVcz&routeway=91

★「専業主婦の妻がいる男性社員に嫉妬」30代女性の悩みを識者3人に相談してみた
https://woman-type.jp/wt/feature/23647?waad=x2brFVcz&routeway=91

★人気クリエイター・もくもくちゃん連載「がんばるきみに、お星さまあげる」
https://woman-type.jp/wt/feature/23894?waad=x2brFVcz&routeway=91

★100万超え高額プログラムに受講希望者殺到のワケ 「自分らしく生きる女性増やしたい」Ms.Engineer代表・やまざきひとみの原動力
https://woman-type.jp/wt/feature/23846?waad=x2brFVcz&routeway=91

┗━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┛",2/25(Fri),2/28(Mon),終了,リード文の下にいれる,
108,IT・WEB業界大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━.+゜☆+.期間限定特集━━━┓

★スキルアップしながら長く働く！エンジニア経験者のためのIT・Web業界大特集★
https://woman-type.jp/s/itweb/?waad=4frWJiXC

┗━━━━━━━━ .+゜☆+. ━━┛",4/12(Tue),5/9(Mon),終了,リード文の下にいれる,
109,"マガシーク様
面接ファッションコラボページ",（金17）Womantype,"┏━━━ マガシーク×女の転職type ━━━┓

プチプラアイテムを活用！好印象を与える面接ファッション
https://woman-type.jp/s/campaign36/?waad=7kLaLdLk

┗━━━━━━━━━━━━━━━━━━━┛",2022/5/13(Fri),2024/9/30(Mon),終了,フッター文言の前に入れる,
110,"関西大特集
販売サービス大特集","（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆実は魅力がたくさん！「サービス・販売系職種」大特集◆
https://woman-type.jp/s/service/?waad=fjHIdBUn

◆大阪エリアで働きたい人のための関西大特集◆
https://woman-type.jp/s/kansai/?waad=PtjnBstP

┗━━━━━━━━━━━━━━━┛",5/10(Tue),6/6(Mon),終了,リード文の下にいれる,
111,営業大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆オンもオフも輝ける！営業大特集◆
https://woman-type.jp/s/salessp/?waad=waw0yO0y

┗━━━━━━━━━━━━━━━┛",6/7(Tue),7/4(Mon),終了,リード文の下にいれる,
112,ETカンファレンス,"（火18）エンジニア系メルマガ4本
（水09）ランキング_エンジニア(IT系)_希望　★RPA
（金11）今週の人気求人ランキング　★RPA
（月11）エンジニア（IT系)_希望　★RPA","▼パターン① 5/24週・5/31週　※赤文字部分コピペ
＝＝＝＝＝＝＝＝＝＝＝＝＝
 ＼2022/6/21(火)～6/25(土) ／
【無料】エンジニア向けオンラインイベント開催！

落合陽一、澤円、せきぐちあいみ、
池澤あやか、玉城絵美、戸倉彩など
著名な技術者たちの登壇が決定！

▼詳細・事前登録はこちらから
http://type.jp/et/feature/lp/ecdw2022/?waad=WJQEgzul
＝＝＝＝＝＝＝＝＝＝＝＝＝

▼パターン② 6/7週　※赤文字部分コピペ
＝＝＝＝＝＝＝＝＝＝＝＝＝
 ＼2022/6/21(火)～6/25(土) ／
【無料】エンジニア向けオンラインイベント開催！

シナモンAI 平野未来×戸倉彩×池澤あやか 
女性エンジニアが熱く・長く働き続けるには？
特別セッションあり！

▼詳細・事前登録はこちらから
http://type.jp/et/feature/lp/ecdw2022/?waad=WJQEgzul
＝＝＝＝＝＝＝＝＝＝＝＝＝

▼パターン③ 6/14週　※赤文字部分コピペ
＝＝＝＝＝＝＝＝＝＝＝＝＝
【開催間近！】2022/6/21(火)～6/25(土)
＼無料オンラインカンファレンスのお知らせ／

豪華ゲスト、女性技術者続々登壇！
技術者が学ぶ、つながる５日間
ENGINEER キャリアデザインウィーク

▼詳細・事前登録はこちらから
http://type.jp/et/feature/lp/ecdw2022/?waad=WJQEgzul
＝＝＝＝＝＝＝＝＝＝＝＝＝


▼パターン④ 6/21週　※赤文字部分コピペ

＝＝＝＝＝＝＝＝＝＝＝＝＝
【開催中！】2022/6/21(火)～6/25(土)
＼無料オンラインカンファレンスのお知らせ／

豪華ゲスト、女性技術者続々登壇！
技術者が学ぶ、つながる５日間
ENGINEER キャリアデザインウィーク

▼詳細・事前登録はこちらから
http://type.jp/et/feature/lp/ecdw2022/?waad=WJQEgzul
＝＝＝＝＝＝＝＝＝＝＝＝＝
",5/24(Tue),6/24(Fri),終了,リード文の下にいれる,
113,WTオンラインエンジニアイベント,"（火13）★新着総合_首都圏 A
（水19）未経験_研修・資格_エンジニア系_首都圏　★RPA
（木19）未経験エンジニア希望向け_首都圏　★RPA
（金13）新着総合_首都圏 B","┏━━━ PR★参加無料イベント━━━┓

2022年6月8日（水）18：00～19：30
女の転職type編集長＆注目企業の人事が登壇！
「未経験から手に職」を応援するオンラインイベント
▼エントリーこちらから▼
https://woman-type.jp/seminar/detail/31493/?routeway=91

━━━━━━━━━━━━━━━━

平均年収が高く、長く働ける「手に職」として注目度の高まるエンジニア職。
Webマガジン『Woman type』が、
「未経験者のエンジニア転職」をテーマにしたオンラインイベントを開催！

エンジニアという仕事の基本情報や、転職市場における女性ニーズ、
転職活動時に求人を見るコツ、人事が書類選考や面接でチェックしているポイントなど、
「未経験からエンジニアになる」ために役立つ情報をトークセッションします。

■ゲスト
女の転職type　編集長　小林 佳代子
type転職エージェント　キャリアアドバイザー　江口 歌奈子
サイボウズ、GMOあおぞらネット銀行、ワークスアイディの人事・採用担当

┗━━━━━━━━━━━━━━━━━┛",5/24(Tue),6/7(Tue),終了,"※メルマガごとに入れる場所を分けて
ご対応お願いします！

①（火13）新着総合_首都圏 A
②（金13）新着総合_首都圏 B
→フッタの前に入れる

③（水19）未経験_研修・資格_エンジニア系_首都圏
④（木19）未経験エンジニア希望向け_首都圏
→リード文の下にいれる

",
114,イベント告知,"（月20）20～35歳正社員求人
（火9）ランキング_クリエイティブ（Web）_希望
（水9）ランキング_クリエイティブ（その他）_希望
LすべてRPAのため、PR削除後は、RPA化に戻す","【PR：6/22無料イベント】━━━━━━━━━━━

★女の転職type×デジタルハリウッドstudioによる無料イベント★
　～クリエイティブスキルで広がるキャリアとは？～

開催日時：2022年6月22日(水)19時00分～20時30分

配信ツール：Zoomウェビナーまたはデジタルハリウッドstudio新宿

第一部：トークセミナー（19時00分～20時00分）
■30代向けNEWキャリアデザイン
・VUCA時代に抑えておきたい女性のキャリア
・働き方スタイル
・面接のときの注意点　など
■デジタルハリウッド卒業生を交えたトーク会

第二部：交流会（20時00分～20時30分）※オフライン参加者のみ
■登壇者とのコーヒー付き交流会

▼詳細・エントリーはこちら。当日参加も歓迎
https://woman-type.jp/wt/feature/25627/
━━━━━━━━━━━━━━━━━━━━━━━━",6/20(月),6/22(水),終了,,
115,IT大特集（経験者向け）,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━.+゜☆+.期間限定特集━━━┓

★スキルアップしながら長く働く！エンジニア経験者のためのIT・Web業界大特集★
https://woman-type.jp/s/itweb/?waad=4frWJiXC

┗━━━━━━━━ .+゜☆+. ━━┛",7/5(Tue),8/1(Mon),終了,リード文の下にいれる,
116,介護大特集＆神奈川大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆手に職つけて社会に貢献！介護・保育・医療・福祉業界に関わる仕事特集◆
https://woman-type.jp/s/kaigosp/?waad=fb5rf2VK

★愛される街  神奈川県の仕事特集★
https://woman-type.jp/s/kanagawa/?waad=0wLFOZsX

┗━━━━━━━━━━━━━━━┛",8/2(Tue),9/12(Mon),終了,リード文の下にいれる,
117,志向別大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆「“理想の働き方”から長く働ける職場を見つける！」大特集◆
https://woman-type.jp/s/careertype/?waad=Whzxo6Kw

┗━━━━━━━━━━━━━━━┛",9/13(Tue),10/10(Mon),終了,リード文の下にいれる,
118,女性フェアONLINE,"（月8）高収入_リモート_エンジニアクリエイティブ
（月11）エンジニア（IT系）_希望　★RPA
（火18）エンジニア系4本
（水9）ランキング_エンジニア（IT系）_希望　★RPA
（木8）人気検索KW_エンジニア系希望

▼最終週のみ追加
（土8）求人特集(35歳未満） B
（水8）求人特集(35歳未満) A
（火金13）新着総合_首都圏","┏━━.+゜☆+.女の転職type 転職イベント━━━┓

★10/8(土)女性エンジニアのための転職イベントONLINE開催★
Amazonギフト券最大5000円分のプレゼントあり！
https://woman-type.jp/s/event/online-engineer/?waad=Vi8ikdfU

┗━━━━━━━━━━━━━━━ .+゜☆+.━━┛",8/29(Mon),10/8(Sat),終了,リード文の下にいれる,
119,ITWEB大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆専門スキルを身につけられる！IT・Web業界大特集◆
https://woman-type.jp/s/websp/?waad=SUBUNnw7

┗━━━━━━━━━━━━━━━┛",10/11(Tue),11/7(Mon),終了,リード文の下にいれる,
120,営業大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆オンもオフも輝ける！営業大特集◆
https://woman-type.jp/s/salessp/?waad=waw0yO0y

┗━━━━━━━━━━━━━━━┛",11/8(Tue),12/5(Mon),終了,リード文の下にいれる,
121,WT差し込み,"期間中のみ以下のメルマガに差し込む
（金10）40代向け_ワークライフバランス
（土9）未経験OK_受付
（日11）年5日の連休取得可能
（月10）検討中ランキング_営業
（月10）検討中ランキング_コンサル
（月10）検討中ランキング_エンジニア
（月10）検討中ランキング_介護
（火8）休日充実_販サ系
（水10）関西_転勤なし","┏━━━━━━━★Woman typeの注目コンテンツ★━━━━━━━━┓

★【山下良美】Ｗ杯サッカー史上初の女性審判へ。「審判になるなんて考えていなかった」彼女の“まずやってみるマインド
https://woman-type.jp/wt/feature/28435/?waad=x2brFVcz&routeway=91

★「仕事も恋愛も他人に依存していた」発達障害で悩んだ過去を武器に変えたライター・姫野桂の逆転劇／大木亜希子の詰みバナ！
https://woman-type.jp/wt/feature/28394/?waad=x2brFVcz&routeway=91

★30代・事務職女性が年収アップするには？ キャリアアドバイザーが提案する三種類のアクション【働く女の「はじめての転職」お悩み相談室】
https://woman-type.jp/wt/feature/28692/?waad=x2brFVcz&routeway=91

★ボスからのフィードバックで気付いた「自分の在り方そのもの」の価値／週末北欧部chikaのフィンランドおしごと日記
https://woman-type.jp/wt/feature/28538/?waad=x2brFVcz&routeway=91

┗━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┛",11/25(Fri),11/30(Wed),終了,"リード文の下にいれる
※次回の月末増発時に外す",
122,WTオンラインエンジニアイベント,"（水19）未経験_研修・資格_エンジニア系_首都圏　★RPA
（水19）フルリモート_全国_エンジニア
（木19）未経験エンジニア希望向け_首都圏　★RPA
→PR差し込み期間終了後、RPA運営に戻す","┏━ PR★Woman type主催の無料イベント━┓

2022年12月20日（火）18：00～19：30
～エンジニアになりたい女性向け～
「未経験から手に職」を応援するオンラインイベント開催！
女の転職type編集長 × Ms.Engineer代表 × Waffle代表が登壇！

▼エントリーはこちらから▼
https://woman-type.jp/wt/feature/28810/

┗━━━━━━━━━━━━━━━━━━━┛",11/30(Wed),12/18(Sun),終了,リード文の下にいれる,
123,"志向別大特集
神奈川大特集","（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━.+゜☆+.期間限定特集━━━┓

◆「“理想の働き方”から長く働ける職場を見つける！」大特集◆
https://woman-type.jp/s/careertype/?waad=Whzxo6Kw

★愛される街  神奈川県の仕事特集★
https://woman-type.jp/s/kanagawa/?waad=0wLFOZsX

┗━━━━━━━━ .+゜☆+. ━━┛",12/6(Tue),1/16(Mon),終了,リード文の下にいれる,
124,ウキフェア,"（火金12）新着総合
（火金13）新着総合
（水14）編集部オススメ‗事務
（木20）事務職 A
（土12）編集部オススメ‗営業
（日9）応募ランキング C
（月12）納品対策

▼1/24週より追加
（火9）ランキング_事務（一般事務）_希望
（水9）ランキング_事務（営業事務）_希望
（木10）経験活かせる_事務
（土10）検討中ランキング_事務","┏━━.+゜☆+.女の転職type 転職イベント━━━┓

2023/2/4(土)12:00～18:00
渋谷ヒカリエにて女性のための転職イベント開催！
ご来場者全員にQUOカード500円分プレゼント！
https://woman-type.jp/s/event/?waad=lkN7G63y

┗━━━━━━━━━━━━━━━ .+゜☆+.━━┛",12/17(Sat),2/4(Sat),終了,"リード文の下にいれる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする",
125,IT大特集（経験者向け）,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━.+゜☆+.期間限定特集━━━┓

スキルアップしながら長く働く！
エンジニア経験者のためのIT・Web業界大特集
https://woman-type.jp/s/itweb/?waad=4frWJiXC

┗━━━━━━━━ .+゜☆+. ━━┛",1/17(Tue),2/13(Mon),終了,リード文の下にいれる,
126,"関西大特集
販売サービス大特集","（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━.+゜☆+.期間限定特集━━━┓

◆キレイもキャリアも手に入れる アパレル・コスメ・美容業界大特集◆
https://woman-type.jp/s/fashion/sp20160927/?waad=Sc9pToTa

◆大阪エリアで働きたい人のための関西大特集◆
https://woman-type.jp/s/kansai/?waad=PtjnBstP

┗━━━━━━━━ .+゜☆+. ━━┛",2/14(Tue),3/13(Mon),終了,リード文の下にいれる,
127,オフィスワーク大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆スキルをつけて長く働く！ねらい目のオフィスワーク特集◆
https://woman-type.jp/s/officework/?waad=faB2LNZZ

┗━━━━━━━━━━━━━━━┛",3/14(Tue),4/10(Mon),終了,リード文の下にいれる,
128,IT・Web大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━.+゜☆+.期間限定特集━━━┓

スキルアップしながら長く働く！
エンジニア経験者のためのIT・Web業界大特集
https://woman-type.jp/s/itweb/?waad=4frWJiXC

┗━━━━━━━━ .+゜☆+. ━━┛",4/11(Tue),5/8(Mon),終了,リード文の下にいれる,
129,"販売サービス大特集
関西大特集","（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆実は魅力がたくさん！「サービス・販売系職種」大特集◆
https://woman-type.jp/s/service/?waad=fjHIdBUn

◆大阪エリアで働きたい人のための関西大特集◆
https://woman-type.jp/s/kansai/?waad=PtjnBstP

┗━━━━━━━━━━━━━━━┛",5/9(Tue),6/5(Mon),終了,リード文の下にいれる,
130,営業大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆オンもオフも輝ける！営業大特集◆
https://woman-type.jp/s/salessp/?waad=waw0yO0y

┗━━━━━━━━━━━━━━━┛",6/6(Tue),7/3(Mon),終了,リード文の下にいれる,
131,ITキャリアラボ,"(火20)20代に人気
　20代に人気_第二新卒
　20代に人気_関西
(水11)20代_服装自由_首都圏
(木17)20代に人気_事務

ＬPR差し込み終了後、RPA運営に戻す","┏━ PR★女の転職type主催の無料企画━┓

～ITエンジニアになりたい女性向け～
「未経験から手に職」を応援するプログラミング講座開催！
受講＆テスト完了で必ず企業の面接が受けられる！

▼詳細・エントリーはこちらから▼
http://woman.type.jp/s/itc-labo?waad=cAs8N8ig

┗━━━━━━━━━━━━━━━━━━━┛",4/4(Tue),4/10(Mon),終了,リード文の下にいれる,
132,WT差し込み,"（木14）関西‗リモート×フレックス
（木15）レコメンドリマインド
（金18）高収入_未経験OK
（日9）応募ランキング C","┏━ PR★Woman type主催の無料イベント━┓

未経験からのエンジニアデビュー応援イベント開催★
2023年4月13日（木）18～20時　
#参加無料　#プログラミング体験付　#オンライン

━━━━━━━━━━━━━━━━━━━━

「未経験からエンジニアになりたい！」
「エンジニアの仕事を体験してみたい！」
そんな方にピッタリのオンラインイベントです！

▼エントリーはこちらから▼
https://woman-type.jp/wt/feature/30346/

┗━━━━━━━━━━━━━━━━━━━┛
",3/31(Fri),4/12(Wed),終了,"リード文の下にいれる
※次回の配信時に外す",
133,ECDW,"（水9）ランキング_エンジニア（IT系）_希望　★RPA
（水19）フルリモート_全国_エンジニア
（木19）首都圏‗エンジニア×リモート×フレックス
（月8）高収入_リモート_エンジニアクリエイティブ","┏【ECDW2023】6/21-25開催！豪華登壇者ずらり ┓

★落合陽一、澤 円、池澤あやか、村上 臣 ほか多数
★参加無料！オンライン開催（一部除く）
https://type.jp/et/feature/ecdw/?waad=WJQEgzul

┗━━━━━━━━━━━━━━━ .+゜☆+.━━┛",5/31(Wed),6/22(Thu),終了,リード文の下にいれる,
134,IT・Web業界大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━.+゜☆+.期間限定特集━━━┓

スキルアップしながら長く働く！
エンジニア経験者のためのIT・Web業界大特集
https://woman-type.jp/s/itweb/?waad=4frWJiXC

┗━━━━━━━━ .+゜☆+. ━━┛",7/4(Tue),7/31(Mon),終了,リード文の下にいれる,
135,"介護大特集
神奈川大特集","（火金12）新着総合
（火金13）新着総合
（月12）納品対策","
┏━━━★期間限定特集★━━━━┓

◆手に職つけて社会に貢献！介護・保育・医療・福祉業界に関わる仕事特集◆
https://woman-type.jp/s/kaigosp/?waad=fb5rf2VK

★愛される街  神奈川県の仕事特集★
https://woman-type.jp/s/kanagawa/?waad=0wLFOZsX

┗━━━━━━━━━━━━━━━┛",8/1(Tue),9/11(Mon),終了,リード文の下にいれる,
136,志向別大特集,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆「“理想の働き方”から長く働ける職場を見つける！」大特集◆
https://woman-type.jp/s/careertype/?waad=Whzxo6Kw

┗━━━━━━━━━━━━━━━┛",9/12(Tue)2023,10/9(Mon)2023,終了,リード文の下にいれる,
